SECCION	CANTIDAD DE VOTOS 
CONFLUENCIA	45099,00
ZAPALA	7450,00
AÑELO	1725,00
PEHUENCHES	5621,00
CHOS MALAL	3055,00
MINAS	2270,00
ÑORQUIN	1633,00
LONCOPUE	1647,00
PICUNCHES	1229,00
ALUMINE	1861,00
CATAIN LIL	544,00
PICUN LEUFU	1299,00
COLLON CURA	953,00
HUILICHES	2876,00
LACAR	2436,00
LOS LAGOS	1352,00
PRIVADOS DE LIBERTAD	20,00
RESIDENTES DEL EXTERIOR	7,00
